TaxID,Organism,Group,Agency,Document,Provision,Pathogen Name,IGSC Status,IGSC Risk Level,Date of Change,Changed by
119221,H5N3 subtype,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Avian influenza virus,1,II,2016-05-11,anru
140020,H5N9 subtype,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Avian influenza virus,1,II,2016-05-11,anru
232441,H5N8 subtype,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Avian influenza virus,1,II,2016-05-11,anru
273303,H5N7 subtype,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Avian influenza virus,1,II,2016-05-11,anru
286295,H7N5 subtype,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Avian influenza virus,1,II,2016-05-11,anru
325678,H7N4 subtype,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Avian influenza virus,1,II,2016-05-11,anru
329376,H5N6 subtype,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Avian influenza virus,1,II,2016-05-11,anru
333278,H7N9 subtype,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Avian influenza virus,1,II,2016-05-11,anru
342224,H5N4 subtype,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Avian influenza virus,1,II,2016-05-11,anru
465975,H5N5 subtype,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Avian influenza virus,1,II,2016-05-11,anru
476651,H7N6 subtype,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Avian influenza virus,1,II,2016-05-11,anru
40051,Bluetongue virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Bluetongue virus,1,II,2016-05-11,anru
499556,Chapare mammarenavirus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Chapare virus,1,II,2016-05-11,anru
37124,Chikungunya virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Chikungunya virus,1,II,2016-05-11,anru
169173,Choclo virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Choclo virus,1,II,2016-05-11,anru
11593,Crimean-Congo hemorrhagic fever virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Crimean-Congo hemorrhagic fever virus,1,II,2016-05-11,anru
11052,Dengue virus group,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Dengue virus,1,II,2016-05-11,anru
12506,Dobrava-Belgrade virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Dobrava-Belgrade virus,1,II,2016-05-11,anru
177873,EEEV complex,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Eastern equine encephalitis virus,1,II,2016-05-11,anru
186536,Ebolavirus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Ebolavirus: all members of the Ebolavirus genus,1,II,2016-05-11,anru
12110,Foot-and-mouth disease virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Foot-and-mouth disease virus,1,II,2016-05-11,anru
186805,Goatpox virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Goatpox virus,1,II,2016-05-11,anru
45219,Guanarito mammarenavirus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Guanarito virus,1,II,2016-05-11,anru
11599,Hantaan virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Hantaan virus,1,II,2016-05-11,anru
63330,Hendra virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Hendra virus (Equine morbillivirus),1,II,2016-05-11,anru
10345,Suid herpesvirus 1,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Suid herpesvirus 1 (Pseudorabies virus; Aujeszky's disease),1,II,2016-05-11,anru
11096,Classical swine fever virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Classical swine fever virus (Hog cholera virus),1,II,2016-05-11,anru
11071,Japanese encephalitis virus group,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Japanese encephalitis virus,1,II,2016-05-11,anru
11619,Junin mammarenavirus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Junin virus,1,II,2016-05-11,anru
33743,Kyasanur forest disease virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Kyasanur Forest disease virus,1,II,2016-05-11,anru
61172,Laguna Negra virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Laguna Negra virus,1,II,2016-05-11,anru
11620,Lassa mammarenavirus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Lassa virus,1,II,2016-05-11,anru
300180,Mopeia Lassa virus reassortant 29,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Lassa virus,1,II,2016-05-11,anru
11086,Louping ill virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Louping ill virus,1,II,2016-05-11,anru
649188,Lujo mammarenavirus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Lujo virus,1,II,2016-05-11,anru
59509,Lumpy skin disease virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Lumpy skin disease virus,1,II,2016-05-11,anru
11623,Lymphocytic choriomeningitis mammarenavirus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Lymphocytic choriomeningitis virus,1,II,2016-05-11,anru
11628,Machupo mammarenavirus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Machupo virus,1,II,2016-05-11,anru
186537,Marburgvirus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Marburgvirus: all members of the Marburgvirus genus,1,II,2016-05-11,anru
10244,Monkeypox virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Monkeypox virus,1,II,2016-05-11,anru
11079,Murray Valley encephalitis virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Murray Valley encephalitis virus,1,II,2016-05-11,anru
11176,Newcastle disease virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Newcastle disease virus,1,II,2016-05-11,anru
121791,Nipah virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Nipah virus,1,II,2016-05-11,anru
665602,unclassified Henipavirus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Nipah virus,1,II,2016-05-11,anru
12542,Omsk hemorrhagic fever virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Omsk haemorrhagic fever virus,1,II,2016-05-11,anru
118655,Oropouche virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Oropouche virus,1,II,2016-05-11,anru
31604,Peste-des-petits-ruminants virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Peste-des-petits-ruminants virus,1,II,2016-05-11,anru
12075,Swine vesicular disease virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Swine vesicular disease virus,1,II,2016-05-11,anru
64141,Porcine enterovirus 9,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Swine vesicular disease virus,1,II,2016-05-11,anru
11083,Powassan virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Powassan virus,1,II,2016-05-11,anru
11286,Lyssavirus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Rabies virus and other members of the Lyssavirus genus,1,II,2016-05-11,anru
11588,Rift Valley fever virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Rift Valley fever virus,1,II,2016-05-11,anru
11241,Rinderpest virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Rinderpest virus,1,II,2016-05-11,anru
64315,Rocio virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Rocio virus,1,II,2016-05-11,anru
45709,Sabia mammarenavirus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Sabia virus,1,II,2016-05-11,anru
11608,Seoul virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Seoul virus,1,II,2016-05-11,anru
10266,Sheeppox virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Sheeppox virus,1,II,2016-05-11,anru
37705,Sin Nombre virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Sin Nombre virus,1,II,2016-05-11,anru
11080,St. Louis encephalitis virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,St. Louis encephalitis virus,1,II,2016-05-11,anru
118139,Teschovirus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Porcine Teschovirus,1,II,2016-05-11,anru
29263,tick-borne encephalitis virus group,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Tick-borne encephalitis virus (Far Eastern subtype),1,II,2016-05-11,anru
64316,Russian Spring-Summer encephalitis virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Tick-borne encephalitis virus (Far Eastern subtype),1,II,2016-05-11,anru
10255,Variola virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Variola virus,1,I,2016-05-11,anru
53258,Variola minor virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Variola virus,1,I,2016-05-11,anru
177872,VEEV complex,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Venezuelan equine encephalitis virus,1,II,2016-05-11,anru
11276,Vesicular stomatitis virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Vesicular stomatitis virus,1,II,2016-05-11,anru
11277,Vesicular stomatitis Indiana virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Vesicular stomatitis virus,1,II,2016-05-11,anru
11280,Vesicular stomatitis New Jersey virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Vesicular stomatitis virus,1,II,2016-05-11,anru
198833,Vesicular stomatitis Alagoas virus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Vesicular stomatitis virus,1,II,2016-05-11,anru
582817,Recombinant vesicular stomatitis Indiana virus rVSV-G/GFP,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Vesicular stomatitis virus,1,II,2016-05-11,anru
177874,WEEV complex,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Western equine encephalitis virus,1,II,2016-05-11,anru
40005,Yellow fever virus group,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Yellow fever virus,1,II,2016-05-11,anru
1392,Bacillus anthracis,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,Bacillus anthracis,1,II,2016-05-11,anru
235,Brucella abortus,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,Brucella abortus,1,III,2016-05-11,anru
29459,Brucella melitensis,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,Brucella melitensis,1,III,2016-05-11,anru
29461,Brucella suis,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,Brucella suis,1,III,2016-05-11,anru
13373,Burkholderia mallei,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,Burkholderia mallei (Pseudomonas mallei),1,III,2016-05-11,anru
28450,Burkholderia pseudomallei,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,Burkholderia pseudomallei (Pseudomonas pseudomallei),1,III,2016-05-11,anru
111527,pseudomallei group,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,Burkholderia pseudomallei (Pseudomonas pseudomallei),1,III,2016-05-11,anru
83554,Chlamydia psittaci,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,Chlamydophila psittaci (formerly known as Chlamydia psittaci),1,III,2016-05-11,anru
29341,Clostridium argentinense,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,"Clostridium argentinense (formerly known as Clostridium botulinum Type G), botulinum neurotoxin producing strains",1,II,2016-05-11,anru
1561,Clostridium baratii,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,"Clostridium baratii, botulinum neurotoxin producing strains",1,II,2016-05-11,anru
1491,Clostridium botulinum,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,Clostridium botulinum,1,II,2016-05-11,anru
1492,Clostridium butyricum,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,"Clostridium butyricum, botulinum neurotoxin producing strains",1,II,2016-05-11,anru
1502,Clostridium perfringens,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,"Clostridium perfringens, epsilon toxin producing types",1,II,2016-05-11,anru
1505,[Clostridium] sordellii,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,"Clostridium perfringens, epsilon toxin producing types",1,II,2016-05-11,anru
777,Coxiella burnetii,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,Coxiella burnetii,1,III,2016-05-11,anru
263,Francisella tularensis,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,Francisella tularensis,1,III,2016-05-11,anru
40480,Mycoplasma capricolum subsp. capripneumoniae,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,Mycoplasma capricolum subspecies capripneumoniae (“strain F38”),1,III,2016-05-11,anru
44101,Mycoplasma mycoides subsp. mycoides SC,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,Mycoplasma mycoides subspecies mycoides SC (small colony),1,III,2016-05-11,anru
782,Rickettsia prowazekii,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,Rickettsia prowazekii,1,III,2016-05-11,anru
347,Xanthomonas oryzae,Bacteria,The Australia Group,List of Plant Pathogens for Export Control,Core List - Bacteria,Xanthomonas oryzae pv. oryzae (Pseudomonas campestris pv. oryzae),1,III,2016-05-11,anru
64187,Xanthomonas oryzae pv. oryzae,Bacteria,The Australia Group,List of Plant Pathogens for Export Control,Core List - Bacteria,Xanthomonas oryzae pv. oryzae (Pseudomonas campestris pv. oryzae),1,III,2016-05-11,anru
314227,Xanthomonas campestris pv. oryzae,Bacteria,The Australia Group,List of Plant Pathogens for Export Control,Core List - Bacteria,Xanthomonas oryzae pv. oryzae (Pseudomonas campestris pv. oryzae),1,III,2016-05-11,anru
31964,Clavibacter michiganensis subsp. sepedonicus,Bacteria,The Australia Group,List of Plant Pathogens for Export Control,Core List - Bacteria,Clavibacter michiganensis subsp. sepedonicus (Corynebacterium michiganensis subsp. sepedonicum or Corynebacterium sepedonicum),1,III,2016-05-11,anru
305,Ralstonia solanacearum,Bacteria,The Australia Group,List of Plant Pathogens for Export Control,Core List - Bacteria,"Ralstonia solanacearum, race 3, biovar 2",1,III,2016-05-11,anru
34407,Colletotrichum kahawae,Fungi,The Australia Group,List of Plant Pathogens for Export Control,Core List - Fungi,Colletotrichum kahawae (Colletotrichum coffeanum var. virulans),1,III,2016-05-11,anru
509212,Colletotrichum coffeanum,Fungi,The Australia Group,List of Plant Pathogens for Export Control,Core List - Fungi,Colletotrichum kahawae (Colletotrichum coffeanum var. virulans),1,III,2016-05-11,anru
101162,Bipolaris oryzae,Fungi,The Australia Group,List of Plant Pathogens for Export Control,Core List - Fungi,Cochliobolus miyabeanus (Helminthosporium oryzae),1,III,2016-05-11,anru
221068,Microcyclus ulei,Fungi,The Australia Group,List of Plant Pathogens for Export Control,Core List - Fungi,Microcyclus ulei (syn. Dothidella ulei),1,III,2016-05-11,anru
5297,Puccinia graminis,Fungi,The Australia Group,List of Plant Pathogens for Export Control,Core List - Fungi,Puccinia graminis ssp. graminis var. graminis / Puccinia graminis ssp. graminis var. stakmanii (Puccinia graminis [syn. Puccinia graminis f. sp. tritici]),1,III,2016-05-11,anru
27350,Puccinia striiformis,Fungi,The Australia Group,List of Plant Pathogens for Export Control,Core List - Fungi,Puccinia striiformis (syn. Puccinia glumarum),1,III,2016-05-11,anru
318829,Magnaporthe oryzae,Fungi,The Australia Group,List of Plant Pathogens for Export Control,Core List - Fungi,Magnaporthe oryzae (Pyricularia oryzae),1,III,2016-05-11,anru
886948,Peronosclerospora philippinensis,Fungi,The Australia Group,List of Plant Pathogens for Export Control,Core List - Fungi,Peronosclerospora philippinensis (Peronosclerospora sacchari),1,III,2016-05-11,anru
467175,Sclerophthora,Fungi,The Australia Group,List of Plant Pathogens for Export Control,Core List - Fungi,Sclerophthora rayssiae var. Zeae,1,III,2016-05-11,anru
286115,Synchytrium endobioticum,Fungi,The Australia Group,List of Plant Pathogens for Export Control,Core List - Fungi,Synchytrium endobioticum,1,III,2016-05-11,anru
43049,Tilletia indica,Fungi,The Australia Group,List of Plant Pathogens for Export Control,Core List - Fungi,Tilletia indica,1,III,2016-05-11,anru
241770,Thecaphora solani,Fungi,The Australia Group,List of Plant Pathogens for Export Control,Core List - Fungi,Thecaphora solani,1,III,2016-05-11,anru
73819,Andean potato latent virus,Viruses,The Australia Group,List of Plant Pathogens for Export Control,Core List - Viruses,Andean potato latent virus (Potato Andean latent tymovirus),1,II,2016-05-11,anru
12892,Potato spindle tuber viroid,Viruses,The Australia Group,List of Plant Pathogens for Export Control,Core List - Viruses,Potato spindle tuber viroid,1,II,2016-05-11,anru
2371,Xylella fastidiosa,Bacteria,The Australia Group,List of Plant Pathogens for Export Control,Awareness List - Bacteria,Xylella fastidiosa,2,IV,2016-05-11,anru
1077377,Plenodomus tracheiphilus,Fungi,The Australia Group,List of Plant Pathogens for Export Control,Awareness List - Fungi,Phoma tracheiphila (Deuterophoma tracheiphila),2,IV,2016-05-11,anru
221103,Moniliophthora roreri,Fungi,The Australia Group,List of Plant Pathogens for Export Control,Awareness List - Fungi,Moniliophthora roreri (Monilia roreri),2,IV,2016-05-11,anru
12585,Banana bunchy top virus,Viruses,The Australia Group,List of Plant Pathogens for Export Control,Awareness List - Viruses,Banana bunchy top virus,2,IV,2016-05-11,anru
59375,Influenza A virus (A/South Carolina/1/1918(H1N1)),Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Reconstructed 1918 influenza virus,1,II,2016-05-11,anru
88776,Influenza A virus (A/Brevig Mission/1/1918(H1N1)),Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Reconstructed 1918 influenza virus,1,II,2016-05-11,anru
224476,Influenza A virus (A/London/1/1918(H1N1)),Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Reconstructed 1918 influenza virus,1,II,2016-05-11,anru
1079245,Influenza A virus (A/AFIP/1/1918(H1N1)),Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Reconstructed 1918 influenza virus,1,II,2016-05-11,anru
1079246,Influenza A virus (A/Iowa/1/1918(H1N1)),Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Reconstructed 1918 influenza virus,1,II,2016-05-11,anru
1079247,Influenza A virus (A/Iowa/2/1918(H1N1)),Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Reconstructed 1918 influenza virus,1,II,2016-05-11,anru
1079248,Influenza A virus (A/New York/2/1918(H1N1)),Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Reconstructed 1918 influenza virus,1,II,2016-05-11,anru
1079249,Influenza A virus (A/New York/3a/1918(H1N1)),Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Reconstructed 1918 influenza virus,1,II,2016-05-11,anru
1079250,Influenza A virus (A/New York/3b/1918(H1N1)),Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Reconstructed 1918 influenza virus,1,II,2016-05-11,anru
1079251,Influenza A virus (A/New York/4/1918(H1N1)),Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Reconstructed 1918 influenza virus,1,II,2016-05-11,anru
1079252,Influenza A virus (A/South Carolina/2/1918(H1N1)),Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Reconstructed 1918 influenza virus,1,II,2016-05-11,anru
1079253,Influenza A virus (A/Virginia/1/1918(H1N1)),Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Reconstructed 1918 influenza virus,1,II,2016-05-11,anru
1079254,Influenza A virus (A/Virginia/2/1918(H1N1)),Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Reconstructed 1918 influenza virus,1,II,2016-05-11,anru
1079255,Influenza A virus (A/Virginia/3/1918(H1N1)),Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Reconstructed 1918 influenza virus,1,II,2016-05-11,anru
1079256,Influenza A virus (A/Washington DC/1/1918(H1N1)),Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Reconstructed 1918 influenza virus,1,II,2016-05-11,anru